epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,178.91,1.15119,2.83829,1.37358,0.57346,0.56824,0.5641,0.35474,1.23743,2.60071,1.54,0.00025574,0.00025574,0.00025574
2,365.083,1.17604,2.06757,1.37965,0.6525,0.66293,0.67585,0.42558,1.24053,2.14525,1.51618,0.000501934,0.000501934,0.000501934
3,557.645,1.17127,1.77947,1.38297,0.65295,0.68806,0.69092,0.4243,1.21295,1.90126,1.47729,0.000737978,0.000737978,0.000737978
4,747.277,1.17929,1.62081,1.39711,0.70068,0.71283,0.74718,0.47607,1.15849,1.7442,1.46688,0.000723321,0.000723321,0.000723321
5,935.575,1.15215,1.44792,1.36033,0.7434,0.75755,0.79239,0.51833,1.20319,1.28959,1.45856,0.000708095,0.000708095,0.000708095
6,1124.85,1.12879,1.32713,1.3434,0.7644,0.72511,0.77883,0.51796,1.12258,1.2776,1.41213,0.000692869,0.000692869,0.000692869
7,1312.3,1.10629,1.2518,1.31189,0.78139,0.78167,0.83045,0.57364,1.09958,1.07685,1.36909,0.000677643,0.000677643,0.000677643
8,1501.66,1.0652,1.18834,1.29845,0.71613,0.80624,0.805,0.56008,1.07162,1.07944,1.35227,0.000662417,0.000662417,0.000662417
9,1689.8,1.04221,1.13966,1.28961,0.74142,0.82282,0.83976,0.57423,1.10877,1.04289,1.37952,0.00064719,0.00064719,0.00064719
10,1877.02,1.03946,1.1031,1.27857,0.77513,0.8052,0.8346,0.57051,1.12575,0.96041,1.37754,0.000631964,0.000631964,0.000631964
11,2063.83,1.01638,1.04514,1.26585,0.8152,0.80223,0.84786,0.59421,1.05676,0.94615,1.3464,0.000616738,0.000616738,0.000616738
12,2248.7,1.01252,1.00689,1.2565,0.7989,0.83731,0.85295,0.60659,1.03578,0.89919,1.30702,0.000601512,0.000601512,0.000601512
13,2436.18,0.98477,0.97506,1.25014,0.81881,0.79908,0.85912,0.60447,1.03575,0.8958,1.31367,0.000586286,0.000586286,0.000586286
14,2621.8,0.97964,0.97639,1.23477,0.79995,0.85101,0.86061,0.61933,1.02286,0.84501,1.2874,0.000571059,0.000571059,0.000571059
15,2808.99,0.97247,0.93884,1.22882,0.79429,0.8574,0.87166,0.6205,1.01925,0.83859,1.309,0.000555833,0.000555833,0.000555833
16,2999.59,0.94701,0.90829,1.2119,0.81376,0.84059,0.86571,0.62348,0.9916,0.80655,1.2701,0.000540607,0.000540607,0.000540607
17,3190.04,0.93719,0.88049,1.20852,0.8018,0.84919,0.86248,0.60757,1.00811,0.83784,1.27866,0.000525381,0.000525381,0.000525381
18,3376.23,0.93514,0.88517,1.20651,0.80646,0.85313,0.87053,0.619,0.97831,0.82349,1.26106,0.000510155,0.000510155,0.000510155
19,3625.27,0.91643,0.84309,1.19707,0.82043,0.82467,0.86822,0.62601,0.98773,0.77641,1.29654,0.000494928,0.000494928,0.000494928
20,3864.01,0.90491,0.8324,1.19328,0.78903,0.86004,0.8644,0.63148,0.96392,0.80239,1.25909,0.000479702,0.000479702,0.000479702
21,4089.49,0.90804,0.82601,1.19015,0.79036,0.877,0.87291,0.63148,0.96918,0.76914,1.25527,0.000464476,0.000464476,0.000464476
22,4316.85,0.91082,0.82404,1.18658,0.80399,0.8261,0.85418,0.62026,0.9617,0.79126,1.24014,0.00044925,0.00044925,0.00044925
23,4560.39,0.88992,0.78799,1.17748,0.80756,0.87511,0.88214,0.62955,0.98809,0.76576,1.26026,0.000434024,0.000434024,0.000434024
24,4861.06,0.88333,0.78297,1.17762,0.82487,0.865,0.88471,0.65446,0.93021,0.70332,1.2374,0.000418797,0.000418797,0.000418797
25,5157.57,0.86974,0.76732,1.16578,0.82722,0.87285,0.88881,0.64415,0.95612,0.72074,1.24538,0.000403571,0.000403571,0.000403571
26,5454.63,0.86178,0.76973,1.15983,0.79391,0.86657,0.87778,0.64232,0.91848,0.72692,1.21582,0.000388345,0.000388345,0.000388345
27,5755.67,0.8593,0.74112,1.16065,0.83728,0.84247,0.88302,0.653,0.91832,0.68474,1.20016,0.000373119,0.000373119,0.000373119
28,6052.16,0.85017,0.71881,1.15095,0.80952,0.88079,0.88585,0.65335,0.92529,0.6885,1.20089,0.000357893,0.000357893,0.000357893
29,6330.39,0.84713,0.72524,1.14657,0.80761,0.86266,0.88328,0.65989,0.90168,0.68004,1.18805,0.000342666,0.000342666,0.000342666
30,6601.88,0.83092,0.71581,1.14169,0.8163,0.88686,0.89199,0.65714,0.91729,0.67039,1.19777,0.00032744,0.00032744,0.00032744
31,6881.45,0.83082,0.70263,1.14426,0.83939,0.86981,0.89599,0.66396,0.90362,0.65851,1.20414,0.000312214,0.000312214,0.000312214
32,7167.51,0.81576,0.69706,1.1282,0.8169,0.88365,0.88605,0.65289,0.92268,0.66867,1.21235,0.000296988,0.000296988,0.000296988
33,7444.78,0.8111,0.6779,1.12317,0.83839,0.88417,0.89912,0.67108,0.88593,0.6401,1.1878,0.000281762,0.000281762,0.000281762
34,7730.84,0.80257,0.67006,1.12364,0.85884,0.84033,0.89673,0.67521,0.87941,0.63677,1.16012,0.000266535,0.000266535,0.000266535
35,8008.14,0.80156,0.66358,1.12766,0.83916,0.86673,0.89169,0.66435,0.88599,0.6584,1.1666,0.000251309,0.000251309,0.000251309
36,8288.72,0.79646,0.65793,1.11216,0.84183,0.87578,0.89768,0.66642,0.89728,0.6302,1.17725,0.000236083,0.000236083,0.000236083
37,8565.13,0.77396,0.63208,1.10924,0.82555,0.88142,0.89378,0.67387,0.87143,0.62663,1.1575,0.000220857,0.000220857,0.000220857
38,8841.68,0.78378,0.64631,1.114,0.81551,0.88054,0.89498,0.6794,0.85867,0.62031,1.14646,0.000205631,0.000205631,0.000205631
39,9127.98,0.76519,0.62389,1.10422,0.8209,0.88411,0.89299,0.66761,0.86908,0.63508,1.15823,0.000190404,0.000190404,0.000190404
40,9417.54,0.76691,0.62462,1.09915,0.82445,0.88499,0.8942,0.67462,0.86072,0.6128,1.15721,0.000175178,0.000175178,0.000175178
41,9743.73,0.72654,0.53107,1.0878,0.83553,0.87622,0.89401,0.6707,0.8589,0.61175,1.15523,0.000159952,0.000159952,0.000159952
42,10012.5,0.71359,0.51605,1.07955,0.86052,0.85893,0.89919,0.67691,0.85296,0.61,1.15154,0.000144726,0.000144726,0.000144726
43,10278.9,0.70321,0.51441,1.07785,0.82973,0.885,0.89449,0.67421,0.8507,0.6041,1.16421,0.0001295,0.0001295,0.0001295
44,10541.1,0.69393,0.49746,1.06621,0.83966,0.88059,0.89708,0.67607,0.85637,0.60155,1.1613,0.000114273,0.000114273,0.000114273
45,10808.7,0.68501,0.49064,1.05836,0.84471,0.87819,0.89805,0.68151,0.848,0.59143,1.15089,9.90472e-05,9.90472e-05,9.90472e-05
46,11069.8,0.67181,0.48051,1.05289,0.8355,0.88589,0.89972,0.6845,0.84198,0.58428,1.14423,8.3821e-05,8.3821e-05,8.3821e-05
47,11337.7,0.66386,0.46852,1.04185,0.8368,0.88703,0.9011,0.68874,0.83528,0.57321,1.14525,6.85948e-05,6.85948e-05,6.85948e-05
48,11599.4,0.65601,0.47205,1.04094,0.84539,0.88222,0.89961,0.68551,0.83635,0.57752,1.14593,5.33686e-05,5.33686e-05,5.33686e-05
49,11861.1,0.64864,0.46479,1.03599,0.848,0.879,0.90197,0.68943,0.83048,0.57244,1.13654,3.81424e-05,3.81424e-05,3.81424e-05
50,12140,0.63776,0.45119,1.02281,0.85192,0.87593,0.90123,0.69021,0.82752,0.56957,1.13763,2.29162e-05,2.29162e-05,2.29162e-05
