epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,241.401,1.14765,2.83642,1.36913,0.57749,0.5943,0.59139,0.38091,1.17064,2.49564,1.48085,0.00025574,0.00025574,0.00025574
2,506.202,1.17568,2.04919,1.37468,0.60514,0.62392,0.62071,0.37488,1.27716,2.15673,1.65496,0.000501934,0.000501934,0.000501934
3,767.542,1.17068,1.78724,1.37547,0.65964,0.65572,0.68081,0.43521,1.22375,1.92243,1.4991,0.000737978,0.000737978,0.000737978
4,1040.59,1.16772,1.59438,1.37672,0.73709,0.67828,0.74798,0.48016,1.19417,1.58813,1.45805,0.000723321,0.000723321,0.000723321
5,1321.87,1.14986,1.44681,1.36009,0.71666,0.77921,0.79394,0.51417,1.20501,1.31395,1.46315,0.000708095,0.000708095,0.000708095
6,1603.66,1.12534,1.31851,1.32304,0.72705,0.76668,0.79266,0.5381,1.12207,1.25124,1.39643,0.000692869,0.000692869,0.000692869
7,1886.04,1.09785,1.24777,1.30064,0.71936,0.7894,0.8146,0.55528,1.10933,1.11435,1.37006,0.000677643,0.000677643,0.000677643
8,2164.11,1.06277,1.17296,1.29379,0.74211,0.81271,0.82253,0.5813,1.04907,1.05349,1.33536,0.000662417,0.000662417,0.000662417
9,2430.89,1.04,1.11644,1.28515,0.70683,0.81996,0.81329,0.56518,1.10635,1.06031,1.35783,0.00064719,0.00064719,0.00064719
10,2691.68,1.03599,1.10301,1.27065,0.74766,0.80563,0.82187,0.55583,1.09924,0.99706,1.36646,0.000631964,0.000631964,0.000631964
11,2955.09,1.01357,1.04543,1.25852,0.77575,0.81162,0.84824,0.59052,1.0364,0.96599,1.32125,0.000616738,0.000616738,0.000616738
12,3214.81,1.00538,1.01801,1.25154,0.75602,0.82721,0.83522,0.59473,1.02609,0.93352,1.30608,0.000601512,0.000601512,0.000601512
13,3472.91,0.98851,0.97653,1.24509,0.77978,0.83513,0.85237,0.60384,1.01682,0.88247,1.28992,0.000586286,0.000586286,0.000586286
14,3730.51,0.9836,0.97783,1.23845,0.77435,0.86467,0.85793,0.60905,1.03554,0.86883,1.30133,0.000571059,0.000571059,0.000571059
15,3993.55,0.9805,0.96197,1.23468,0.79632,0.83953,0.86266,0.62217,1.00069,0.83062,1.26305,0.000555833,0.000555833,0.000555833
16,4262.45,0.94456,0.91048,1.20768,0.78512,0.8364,0.86323,0.61997,0.97881,0.81957,1.24939,0.000540607,0.000540607,0.000540607
17,4567.86,0.93898,0.88409,1.20736,0.82258,0.84292,0.86644,0.62764,0.97626,0.81012,1.26824,0.000525381,0.000525381,0.000525381
18,4858.33,0.93549,0.88068,1.20289,0.81324,0.84105,0.87203,0.63257,0.96027,0.79085,1.22829,0.000510155,0.000510155,0.000510155
19,5162.21,0.93076,0.84479,1.20254,0.773,0.84921,0.85939,0.62127,1.00153,0.81935,1.27763,0.000494928,0.000494928,0.000494928
20,5455.21,0.90549,0.82604,1.19439,0.79409,0.85695,0.86726,0.62682,0.95966,0.77288,1.22991,0.000479702,0.000479702,0.000479702
21,5673.95,0.89869,0.81307,1.18214,0.81008,0.86414,0.87601,0.64927,0.93541,0.73414,1.21508,0.000464476,0.000464476,0.000464476
22,5872.44,0.90562,0.82252,1.18489,0.807,0.85666,0.8793,0.64441,0.93443,0.74182,1.21969,0.00044925,0.00044925,0.00044925
23,6080.29,0.88858,0.78665,1.17302,0.81216,0.86477,0.87847,0.63417,0.96806,0.74334,1.23252,0.000434024,0.000434024,0.000434024
24,6308.55,0.88654,0.7825,1.17365,0.81974,0.86564,0.88251,0.6457,0.9523,0.71349,1.22405,0.000418797,0.000418797,0.000418797
25,6521.18,0.8711,0.76526,1.15886,0.8378,0.84542,0.88804,0.64595,0.94069,0.7043,1.21622,0.000403571,0.000403571,0.000403571
26,6832.83,0.86293,0.76795,1.16057,0.78663,0.86828,0.88293,0.65724,0.91022,0.70907,1.1842,0.000388345,0.000388345,0.000388345
27,7122.15,0.8538,0.73831,1.15521,0.84288,0.83943,0.88287,0.6487,0.9244,0.69479,1.19479,0.000373119,0.000373119,0.000373119
28,7430.84,0.85627,0.71541,1.15157,0.8255,0.87803,0.89189,0.65739,0.92651,0.67264,1.19644,0.000357893,0.000357893,0.000357893
29,7730.29,0.85175,0.72119,1.14811,0.83595,0.85483,0.89113,0.66214,0.9162,0.67842,1.202,0.000342666,0.000342666,0.000342666
30,8033.3,0.83784,0.71155,1.14444,0.82518,0.88624,0.89587,0.66436,0.90253,0.67251,1.17699,0.00032744,0.00032744,0.00032744
31,8322.62,0.82677,0.70718,1.13994,0.84593,0.87063,0.90185,0.67212,0.88794,0.65122,1.16766,0.000312214,0.000312214,0.000312214
32,8638.42,0.82363,0.69996,1.1336,0.81786,0.88868,0.89404,0.66319,0.90169,0.64996,1.19636,0.000296988,0.000296988,0.000296988
33,8808.33,0.81169,0.67446,1.12466,0.84585,0.86372,0.89435,0.67101,0.8828,0.63737,1.17695,0.000281762,0.000281762,0.000281762
34,8973.05,0.80336,0.67774,1.12462,0.8042,0.89747,0.89858,0.67235,0.8921,0.64683,1.17375,0.000266535,0.000266535,0.000266535
35,9138.11,0.80066,0.66024,1.12467,0.84006,0.86456,0.89528,0.67154,0.88281,0.64005,1.16768,0.000251309,0.000251309,0.000251309
36,9307.9,0.79641,0.65782,1.10995,0.82152,0.88265,0.89205,0.66822,0.89146,0.63584,1.17677,0.000236083,0.000236083,0.000236083
37,9468.88,0.77863,0.63311,1.113,0.81652,0.87807,0.89368,0.68053,0.86258,0.62417,1.15367,0.000220857,0.000220857,0.000220857
38,9630.45,0.78109,0.64617,1.11319,0.8485,0.86529,0.90174,0.6812,0.86129,0.60701,1.14712,0.000205631,0.000205631,0.000205631
39,9795.72,0.77368,0.62489,1.11007,0.82222,0.89125,0.89928,0.6826,0.85242,0.61159,1.14596,0.000190404,0.000190404,0.000190404
40,9960.25,0.76868,0.61906,1.09964,0.80857,0.89959,0.90074,0.68285,0.85928,0.60658,1.14654,0.000175178,0.000175178,0.000175178
41,10153.7,0.72325,0.54331,1.08465,0.82005,0.88413,0.89087,0.67658,0.85664,0.62013,1.14989,0.000159952,0.000159952,0.000159952
42,10315.6,0.71484,0.52063,1.07877,0.84406,0.87109,0.89333,0.68549,0.84397,0.60745,1.13863,0.000144726,0.000144726,0.000144726
43,10478.4,0.70095,0.51106,1.07508,0.82252,0.88961,0.89399,0.68941,0.83403,0.59722,1.12832,0.0001295,0.0001295,0.0001295
44,10641.5,0.69751,0.50266,1.06755,0.83075,0.89021,0.89811,0.68751,0.84376,0.59155,1.13175,0.000114273,0.000114273,0.000114273
45,10799.9,0.68538,0.48489,1.05416,0.84364,0.88129,0.89928,0.68489,0.84079,0.5851,1.13009,9.90472e-05,9.90472e-05,9.90472e-05
46,10964.1,0.66706,0.48195,1.04743,0.83726,0.87933,0.89905,0.69052,0.83089,0.57788,1.12048,8.3821e-05,8.3821e-05,8.3821e-05
47,11126.7,0.66651,0.47204,1.04327,0.8249,0.89026,0.90298,0.6927,0.82687,0.5841,1.12621,6.85948e-05,6.85948e-05,6.85948e-05
48,11289.6,0.65569,0.47496,1.03622,0.83002,0.89742,0.90592,0.69405,0.82835,0.58449,1.11831,5.33686e-05,5.33686e-05,5.33686e-05
49,11452.8,0.65024,0.46012,1.0377,0.84312,0.87589,0.90267,0.69482,0.82523,0.57645,1.12049,3.81424e-05,3.81424e-05,3.81424e-05
50,11617.4,0.63711,0.45438,1.01941,0.84193,0.88123,0.90218,0.6969,0.82006,0.5765,1.1158,2.29162e-05,2.29162e-05,2.29162e-05
