epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.627,1.37945,2.9761,1.56609,0.48749,0.53783,0.48964,0.27757,1.38431,3.23446,1.57725,0.00025574,0.00025574,0.00025574
2,308.785,1.35047,2.19149,1.54156,0.61764,0.68515,0.67031,0.37601,1.39778,2.23377,1.58014,0.000501934,0.000501934,0.000501934
3,476.076,1.34729,1.95985,1.54244,0.62476,0.68812,0.68601,0.39977,1.38191,1.88908,1.60771,0.000737978,0.000737978,0.000737978
4,639.166,1.33003,1.80609,1.52653,0.70355,0.75034,0.76686,0.42263,1.46493,1.55014,1.63674,0.000723321,0.000723321,0.000723321
5,803.505,1.31067,1.66357,1.51453,0.70906,0.76455,0.7855,0.46167,1.38966,1.45953,1.58961,0.000708095,0.000708095,0.000708095
6,966.098,1.29056,1.57297,1.5013,0.76273,0.73022,0.77069,0.45633,1.43038,1.31408,1.59766,0.000692869,0.000692869,0.000692869
7,1129.36,1.27289,1.50796,1.49378,0.76448,0.72779,0.77033,0.4539,1.37821,1.31794,1.53901,0.000677643,0.000677643,0.000677643
8,1293.69,1.24288,1.43784,1.46878,0.79212,0.76819,0.82407,0.50778,1.30232,1.16459,1.50439,0.000662417,0.000662417,0.000662417
9,1459.34,1.24212,1.40378,1.46518,0.71203,0.7871,0.79432,0.48346,1.35839,1.2261,1.51307,0.00064719,0.00064719,0.00064719
10,1626.29,1.21043,1.34225,1.45223,0.77532,0.77065,0.83165,0.50052,1.35268,1.09818,1.50964,0.000631964,0.000631964,0.000631964
11,1789.98,1.20454,1.31511,1.44216,0.78168,0.83659,0.85438,0.52677,1.29063,1.03423,1.455,0.000616738,0.000616738,0.000616738
12,1953.76,1.19473,1.28604,1.43388,0.79017,0.8349,0.8566,0.50803,1.38791,1.01254,1.51964,0.000601512,0.000601512,0.000601512
13,2119.97,1.18,1.23646,1.42559,0.77013,0.85215,0.85503,0.53027,1.2556,0.99645,1.44679,0.000586286,0.000586286,0.000586286
14,2286.23,1.14519,1.2064,1.39597,0.7993,0.83264,0.85674,0.55679,1.21744,0.93701,1.4439,0.000571059,0.000571059,0.000571059
15,2454.1,1.14793,1.19862,1.40079,0.80962,0.86247,0.86104,0.55841,1.22588,0.91013,1.40806,0.000555833,0.000555833,0.000555833
16,2616.51,1.15112,1.16806,1.40145,0.81025,0.83037,0.86666,0.56308,1.19524,0.93308,1.40253,0.000540607,0.000540607,0.000540607
17,2780.92,1.1487,1.16683,1.39838,0.78239,0.83776,0.8486,0.56298,1.14791,0.9173,1.3697,0.000525381,0.000525381,0.000525381
18,2945.84,1.12948,1.11141,1.38112,0.84088,0.80743,0.86787,0.57687,1.13937,0.89968,1.36301,0.000510155,0.000510155,0.000510155
19,3110.68,1.11387,1.11061,1.37719,0.78691,0.85896,0.87585,0.58682,1.14837,0.85692,1.35634,0.000494928,0.000494928,0.000494928
20,3275.83,1.1017,1.0777,1.36626,0.8143,0.84958,0.8706,0.585,1.13437,0.8632,1.34578,0.000479702,0.000479702,0.000479702
21,3441.1,1.10563,1.09275,1.36237,0.80487,0.84137,0.87446,0.57994,1.1878,0.84887,1.40356,0.000464476,0.000464476,0.000464476
22,3605.28,1.0931,1.07695,1.35798,0.81914,0.85023,0.87495,0.58773,1.14054,0.82059,1.3527,0.00044925,0.00044925,0.00044925
