epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,165.368,1.15119,2.83829,1.37358,0.57346,0.56824,0.5641,0.35474,1.23743,2.60071,1.54,0.00025574,0.00025574,0.00025574
2,357.356,1.17545,2.05349,1.37336,0.72336,0.65122,0.71643,0.44841,1.20321,2.04904,1.4844,0.000511573,0.000511573,0.000511573
3,594.304,1.17382,1.79904,1.38356,0.67858,0.68885,0.72279,0.46248,1.21454,1.88685,1.53561,0.000765407,0.000765407,0.000765407
4,842.375,1.18092,1.61962,1.3913,0.71992,0.67454,0.73125,0.45451,1.2116,1.58188,1.47927,0.000762258,0.000762258,0.000762258
5,1099.32,1.15543,1.47352,1.36904,0.69868,0.78536,0.7884,0.51405,1.18048,1.2944,1.4472,0.000757041,0.000757041,0.000757041
6,1350.2,1.14062,1.35271,1.34914,0.75221,0.69836,0.77398,0.51507,1.14337,1.28345,1.43964,0.000750369,0.000750369,0.000750369
7,1600.59,1.11025,1.26654,1.31818,0.73298,0.75043,0.80714,0.54575,1.14072,1.11796,1.39821,0.000742269,0.000742269,0.000742269
8,1853.06,1.07228,1.20195,1.30681,0.74441,0.78282,0.80952,0.55843,1.07979,1.09061,1.3513,0.000732772,0.000732772,0.000732772
9,2106.42,1.06178,1.15932,1.29874,0.7296,0.77574,0.80029,0.54042,1.14955,1.11313,1.39708,0.000721916,0.000721916,0.000721916
10,2356.36,1.05893,1.12204,1.28454,0.73072,0.78819,0.80597,0.54633,1.15174,1.02495,1.40447,0.000709743,0.000709743,0.000709743
11,2603.07,1.02822,1.07114,1.27019,0.8214,0.79402,0.8528,0.58736,1.03938,0.94772,1.32128,0.000696301,0.000696301,0.000696301
12,2850,1.01662,1.02772,1.25962,0.76955,0.83822,0.84944,0.59612,1.05307,0.93551,1.31345,0.000681645,0.000681645,0.000681645
13,3090.32,0.99923,0.98971,1.25144,0.79428,0.85032,0.86188,0.61698,1.02842,0.8774,1.30751,0.000665831,0.000665831,0.000665831
14,3335.31,1.00016,0.99809,1.24786,0.79507,0.83915,0.86346,0.61929,1.03975,0.84722,1.29723,0.000648921,0.000648921,0.000648921
15,3576.03,0.98569,0.96157,1.23898,0.77864,0.82208,0.8506,0.61412,1.00508,0.8609,1.27437,0.000630984,0.000630984,0.000630984
16,3818.21,0.95539,0.93228,1.21388,0.80004,0.82507,0.86473,0.61909,0.99312,0.8303,1.26498,0.000612088,0.000612088,0.000612088
17,4042.87,0.95811,0.90538,1.2236,0.80125,0.83517,0.85962,0.60576,1.02117,0.86821,1.29767,0.00059231,0.00059231,0.00059231
18,4255.04,0.94602,0.89694,1.21556,0.81773,0.85201,0.86319,0.6196,0.96522,0.80819,1.23664,0.000571727,0.000571727,0.000571727
19,4469.86,0.93721,0.85678,1.2077,0.81687,0.83843,0.87064,0.63259,0.97821,0.80049,1.26999,0.00055042,0.00055042,0.00055042
20,4683.74,0.9151,0.84499,1.20047,0.79337,0.84668,0.85527,0.62039,0.965,0.79795,1.23706,0.000528473,0.000528473,0.000528473
21,4922.58,0.91231,0.82647,1.18934,0.82412,0.87752,0.88927,0.64378,0.98083,0.73366,1.25881,0.000505974,0.000505974,0.000505974
22,5181.91,0.91753,0.83116,1.19762,0.79755,0.85539,0.87768,0.65078,0.92566,0.74021,1.21455,0.00048301,0.00048301,0.00048301
23,5464.21,0.88966,0.79547,1.17824,0.82209,0.85979,0.88304,0.6404,0.99017,0.7371,1.25113,0.000459673,0.000459673,0.000459673
24,5733.94,0.88637,0.78111,1.17578,0.82307,0.86978,0.89143,0.65925,0.94334,0.71101,1.21702,0.000436054,0.000436054,0.000436054
25,6011.43,0.87507,0.75901,1.16627,0.84603,0.86687,0.8888,0.64998,0.94851,0.69561,1.21684,0.000412247,0.000412247,0.000412247
26,6291.4,0.86842,0.76879,1.16606,0.81352,0.87843,0.89269,0.66036,0.9283,0.6857,1.2,0.000388345,0.000388345,0.000388345
27,6575.54,0.84967,0.73566,1.15429,0.84404,0.85246,0.89747,0.66236,0.91627,0.67271,1.19378,0.000364443,0.000364443,0.000364443
28,6852.91,0.84356,0.71268,1.14686,0.81471,0.88078,0.8993,0.66808,0.90512,0.66659,1.18261,0.000340636,0.000340636,0.000340636
29,7133.29,0.84512,0.70902,1.14217,0.80913,0.88249,0.89242,0.66716,0.89635,0.66094,1.18464,0.000317017,0.000317017,0.000317017
30,7420.23,0.82776,0.69969,1.14002,0.80507,0.90918,0.9023,0.67765,0.89759,0.63742,1.17822,0.00029368,0.00029368,0.00029368
31,7694.79,0.81742,0.69338,1.13478,0.83469,0.88611,0.89882,0.66907,0.89054,0.63809,1.17474,0.000270716,0.000270716,0.000270716
32,7927.25,0.80642,0.67484,1.12454,0.82675,0.89925,0.89793,0.67242,0.89838,0.6269,1.18185,0.000248217,0.000248217,0.000248217
33,8164.09,0.79659,0.66074,1.11586,0.84037,0.8683,0.90323,0.68216,0.87871,0.62913,1.16942,0.00022627,0.00022627,0.00022627
34,8405.99,0.78724,0.65339,1.11311,0.83368,0.87529,0.90646,0.68828,0.87481,0.6246,1.15208,0.000204963,0.000204963,0.000204963
35,8644.5,0.78258,0.6466,1.11737,0.83725,0.89227,0.90687,0.6844,0.87088,0.62195,1.15684,0.00018438,0.00018438,0.00018438
36,8881,0.77892,0.63446,1.10444,0.84648,0.87152,0.90499,0.68691,0.87974,0.61649,1.15837,0.000164602,0.000164602,0.000164602
37,9124.55,0.75907,0.61841,1.10279,0.81705,0.89943,0.90463,0.69067,0.86154,0.61389,1.14991,0.000145706,0.000145706,0.000145706
38,9398.43,0.76456,0.62771,1.1059,0.83855,0.87724,0.90959,0.69256,0.85557,0.60196,1.14646,0.000127769,0.000127769,0.000127769
39,9644.98,0.74728,0.6022,1.09598,0.82387,0.89802,0.90532,0.69245,0.84906,0.60371,1.13812,0.000110859,0.000110859,0.000110859
40,9875.58,0.74777,0.605,1.09003,0.81431,0.90216,0.90421,0.689,0.85882,0.60199,1.14373,9.50453e-05,9.50453e-05,9.50453e-05
41,10164.6,0.70828,0.52335,1.07835,0.83758,0.87979,0.90214,0.68409,0.86016,0.59735,1.15087,8.03886e-05,8.03886e-05,8.03886e-05
42,10402.3,0.69618,0.50532,1.06927,0.85293,0.88268,0.90726,0.69172,0.85339,0.58623,1.14441,6.69474e-05,6.69474e-05,6.69474e-05
43,10632.5,0.68921,0.50115,1.06781,0.85174,0.87751,0.90494,0.69105,0.84832,0.58186,1.14371,5.47745e-05,5.47745e-05,5.47745e-05
44,10868.4,0.68337,0.49384,1.06067,0.84315,0.88739,0.90707,0.69271,0.84629,0.58576,1.13962,4.39181e-05,4.39181e-05,4.39181e-05
45,11109.1,0.67842,0.4882,1.05597,0.8414,0.87828,0.90508,0.6935,0.84371,0.58422,1.13741,3.44209e-05,3.44209e-05,3.44209e-05
46,11387.2,0.66285,0.48401,1.04883,0.84339,0.87409,0.90537,0.69494,0.84603,0.5809,1.13588,2.63206e-05,2.63206e-05,2.63206e-05
47,11660,0.66289,0.47209,1.04361,0.84987,0.86834,0.90773,0.69506,0.84335,0.57964,1.13493,1.9649e-05,1.9649e-05,1.9649e-05
48,11931,0.66326,0.48011,1.04577,0.84943,0.87248,0.90814,0.69569,0.84365,0.57815,1.13647,1.44324e-05,1.44324e-05,1.44324e-05
49,12205,0.65847,0.47835,1.04495,0.82931,0.89576,0.90808,0.69649,0.8422,0.57759,1.1344,1.06916e-05,1.06916e-05,1.06916e-05
