epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.434,1.38407,2.97305,1.5665,0.49,0.57691,0.51751,0.28314,1.43087,3.08337,1.59942,0.00025574,0.00025574,0.00025574
2,567.142,1.35341,2.20387,1.55005,0.60948,0.66944,0.641,0.36523,1.38603,2.29976,1.58069,0.000511573,0.000511573,0.000511573
3,859.538,1.34009,1.96143,1.55222,0.64329,0.68551,0.67521,0.37317,1.49562,1.92036,1.65541,0.000765407,0.000765407,0.000765407
4,1145.64,1.35453,1.82528,1.55446,0.69972,0.6969,0.74579,0.40574,1.48777,1.70362,1.68386,0.000762258,0.000762258,0.000762258
5,1420.12,1.31334,1.68406,1.51908,0.69251,0.7213,0.76515,0.4396,1.48733,1.5547,1.72734,0.000757041,0.000757041,0.000757041
6,1702.06,1.30911,1.58012,1.51314,0.75208,0.73234,0.78275,0.45361,1.40331,1.36617,1.60323,0.000750369,0.000750369,0.000750369
7,1988.39,1.28337,1.51622,1.50096,0.72875,0.74224,0.78201,0.47243,1.36627,1.2552,1.52951,0.000742269,0.000742269,0.000742269
8,2265.78,1.25666,1.45308,1.4815,0.78703,0.76208,0.81459,0.49924,1.3154,1.1638,1.48494,0.000732772,0.000732772,0.000732772
9,2553.99,1.25603,1.42566,1.47635,0.73476,0.77839,0.80643,0.49926,1.32932,1.2186,1.49201,0.000721916,0.000721916,0.000721916
10,2845.93,1.22845,1.36496,1.45939,0.79185,0.76971,0.83095,0.49911,1.37398,1.09814,1.53791,0.000709743,0.000709743,0.000709743
11,3132.67,1.21927,1.32001,1.4457,0.76545,0.81416,0.83605,0.52446,1.28285,1.05176,1.4522,0.000696301,0.000696301,0.000696301
12,3421.64,1.20017,1.30694,1.43746,0.78289,0.83448,0.84692,0.50329,1.4038,1.04781,1.54827,0.000681645,0.000681645,0.000681645
13,3704.09,1.20319,1.2543,1.44118,0.78117,0.80894,0.83452,0.52978,1.23848,1.03416,1.44812,0.000665831,0.000665831,0.000665831
14,3991.36,1.15379,1.21591,1.40164,0.80331,0.82198,0.84864,0.55662,1.2084,0.95551,1.42936,0.000648921,0.000648921,0.000648921
